State,District,Village,Date,Diarrhea,Fever,Vomiting,Water_Status,Flood_Flag,Population
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-16,6,4,4,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-17,1,5,2,Safe,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-18,3,3,3,Unknown,0,500
Meghalaya,East Khasi Hills,Cherrapunji,2026-01-19,2,7,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-21,1,4,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-22,4,4,3,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-23,2,2,2,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-24,2,2,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-25,4,5,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-26,0,2,2,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-27,4,2,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-28,3,4,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-29,2,5,5,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-30,5,7,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2025-12-31,5,0,0,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-01,3,4,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-02,4,4,0,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-03,1,1,1,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-04,5,4,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-05,2,4,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-06,8,4,5,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-07,2,5,2,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-08,2,0,2,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-09,2,3,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-10,1,7,0,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-11,4,7,7,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-12,4,5,1,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-13,2,5,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-14,1,7,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-15,5,6,4,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-16,3,5,2,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-17,4,5,7,Safe,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-18,4,7,2,Unknown,0,500
Meghalaya,East Khasi Hills,Dawki,2026-01-19,5,6,1,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-21,4,8,4,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-22,2,7,0,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-23,2,8,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-24,2,4,3,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-25,2,7,1,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-26,2,5,2,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-27,3,6,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-28,1,3,5,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-29,3,4,2,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-30,3,6,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2025-12-31,2,5,1,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-01,3,5,2,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-02,6,2,6,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-03,2,3,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-04,1,6,3,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-05,5,6,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-06,6,5,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-07,3,8,1,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-08,3,4,3,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-09,4,7,2,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-10,1,4,2,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-11,5,1,2,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-12,1,4,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-13,3,7,1,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-14,4,9,3,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-15,2,5,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-16,0,6,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-17,3,8,2,Safe,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-18,1,4,0,Unknown,0,500
Meghalaya,East Khasi Hills,Shillong Rural,2026-01-19,6,9,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-21,2,3,1,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-22,1,7,1,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-23,1,2,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-24,1,5,5,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-25,7,4,1,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-26,4,9,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-27,3,6,2,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-28,3,2,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-29,2,8,1,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-30,5,3,1,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2025-12-31,2,3,3,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-01,3,5,1,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-02,5,7,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-03,1,5,4,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-04,6,3,4,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-05,1,2,5,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-06,1,3,1,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-07,5,4,3,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-08,5,6,1,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-09,1,3,2,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-10,4,7,3,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-11,5,6,2,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-12,0,2,3,Safe,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-13,4,3,5,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-14,5,7,1,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-15,3,7,3,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-16,3,6,4,Contaminated,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-17,7,3,1,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-18,4,4,4,Unknown,0,500
Meghalaya,East Khasi Hills,Tura,2026-01-19,2,4,2,Contaminated,0,500
